studentid,year,grade,courseload
vbyne9i,2010,A,9
vverlander9j,2000,C,7
kepton9k,2000,B,7
jspoure9l,2010,C,6
hcollishaw9m,2000,C,6
egate9n,2010,C,13
tgever9o,2000,C,9
dfolli9p,2010,B,9
bdurtnell9q,2010,C,13
bpadkin9r,2010,C,12
uwais9s,2010,B,8
abennetts9t,2010,C,11
klivingston9u,2000,A,10
rdwelley9v,2010,C,7
nchevers9w,2000,A,8
bstockin9x,2010,D,8
gmee9y,2000,C,14
nsueter9z,2010,F,5
egitthousea0,2010,C,6
jburchella1,2000,C,13
ghuckabea2,2010,B,5
mmottona3,2010,A,15
celeshenara4,2010,A,5
lwissona5,2010,B,12
flocka6,2000,C,9
mperoa7,2010,C,6
jtargetta8,2010,A,14
owassunga9,2000,A,12
mmessittaa,2010,C,10
ngodsafeab,2000,F,7
tbreawoodac,2010,D,6
hrawead,2000,F,5
tingreyae,2000,F,15
twelbandaf,2010,F,5
jleggatag,2000,C,8
nmcgurkah,2010,A,10
erumneyai,2010,B,10
tmcmanamonaj,2010,B,9
tciccarelloak,2010,C,14
swoodberryal,2000,B,15
tmarneyam,2000,A,11
cscambleran,2000,F,6
nstonehouseao,2010,F,6
mlaintonap,2000,A,14
akirkhouseaq,2000,C,6
glateyar,2010,D,15
dhynamas,2010,C,15
wkittelat,2000,D,10
miozefovichau,2010,B,11
cempringhamav,2010,A,14
kdoughartieaw,2010,C,5
jkilloughax,2000,A,15
growswellay,2010,B,6
bhiscoeaz,2010,A,15
zmacquireb0,2010,C,12
esateb1,2000,D,10
aandrinb2,2000,C,6
lyarmouthb3,2000,C,15
vhowellb4,2000,D,7
mdibiaggib5,2000,A,8
cdareyb6,2010,C,8
nbarnevilleb7,2010,B,12
dpeschkab8,2000,A,14
rismailb9,2000,C,10
dtolfreyba,2000,A,10
smattinglybb,2000,A,6
bszymonibc,2000,F,12
gfortbd,2010,F,10
bphelipeaube,2010,A,11
vraundbf,2000,B,14
rcornillotbg,2010,C,7
gkinworthybh,2000,C,9
akunabi,2010,A,10
wcastellanbj,2000,B,12
rpfliegerbk,2000,A,7
jbinniebl,2000,A,8
sdockwrabm,2010,A,6
rmurtonbn,2010,F,13
damsdenbo,2000,A,13
emorvillebp,2000,A,12
cciobutarubq,2000,A,14
gschniederbr,2010,C,10
bmalsterbs,2000,F,14
vrobloubt,2010,A,9
snutbeambu,2000,B,7
ctortoisebv,2010,A,15
crihosekbw,2000,C,8
vsexbx,2010,B,14
jfortnonby,2000,F,9
hwitchbz,2000,C,5
hmulqueenyc0,2010,A,8
sandoverc1,2010,B,12
kscanterburyc2,2010,F,7
ldareyc3,2000,F,12
cnieldc4,2000,D,8
dfellowsc5,2000,F,9
ncarlettic6,2000,B,14
hvigoursc7,2010,C,10
dokerinc8,2010,A,13
mastellc9,2000,C,8
dkernermannca,2000,A,8
tmosbycb,2010,D,9
coldalecc,2010,A,11
ssomervillecd,2010,F,6
mhuggettce,2010,F,6
gstandishbrookscf,2010,C,11
kjereattcg,2010,B,10
omarunchakch,2000,F,6
eskiplorneci,2000,F,6
tstoffersencj,2010,D,5
creinersck,2000,C,6
gheinlcl,2010,C,10
cwellfarecm,2000,A,7
hsilverthorncn,2010,F,10
jmurgatroydco,2010,C,6
igailcp,2010,B,5
abanfordcq,2010,C,15
ceagarcr,2000,C,6
ascoffinscs,2000,B,7
lchildrensct,2000,D,9
bvitetcu,2000,A,15
cjobernecv,2010,D,15
efedorskicw,2000,A,6
cduffercx,2000,A,14
cpollastrinocy,2010,C,15
mbenedtticz,2010,B,7
echoppingd0,2000,D,10
mwadesworthd1,2000,A,11
njirid2,2010,B,9
hipsleyd3,2010,C,6
awyethd4,2010,A,7
gburkd5,2010,F,6
tthurstand6,2000,B,11
mschruurd7,2000,F,12
hmcdarmidd8,2010,D,5
bradind9,2000,A,6
mmartida,2000,B,11
rcockramdb,2000,F,9
ssalandinodc,2000,C,14
jlathwooddd,2010,A,8
epeddelde,2010,D,6
aeathornedf,2000,B,11
wmissendg,2000,A,12
rjickellsdh,2000,C,13
hmacredmonddi,2010,C,7
pmedendorpdj,2010,A,11
omcgaraghandk,2000,F,14
mlettsomdl,2000,F,10
gsowtendm,2010,C,15
gcrowdn,2000,D,6
cfielddo,2000,D,11
mwaplesdp,2010,B,8
earmsdendq,2000,A,8
ftesoedr,2010,B,13
dphelpsds,2010,C,5
ewhyarddt,2000,A,7
afrodshamdu,2010,A,10
iettlesdv,2000,D,14
